,dataCode,ordinal,ordering,reassignments,default_value,default_related_field,ValueType,tree,num_fields,number_values
141,503,0,,,NA,NA,Categorical single,FALSE,2,3
142,504,0,,,NA,NA,Categorical single,FALSE,2,5
143,505,0,,,NA,NA,Categorical single,FALSE,2,6
144,506,0,,,NA,NA,Categorical single,FALSE,2,5
145,507,0,,,NA,NA,Categorical single,FALSE,2,6
146,508,0,,,NA,NA,Categorical single,FALSE,2,2
147,509,0,,,NA,NA,Categorical single,FALSE,2,7
148,510,0,,,NA,NA,Categorical single,FALSE,2,5
149,514,0,,,NA,NA,Categorical single,FALSE,2,5
150,515,0,,,NA,NA,Categorical single,FALSE,2,5
151,516,0,,,NA,NA,Categorical single,FALSE,2,4
152,518,0,,,NA,NA,Categorical single,FALSE,2,4
153,519,0,,,NA,NA,Categorical single,FALSE,2,6
154,520,0,,,NA,NA,Categorical single,FALSE,2,3
155,521,0,,,NA,NA,Categorical single,FALSE,2,6
156,522,0,,,NA,NA,Categorical single,FALSE,2,6
157,523,0,,,NA,NA,Categorical single,FALSE,2,6
158,524,0,,,NA,NA,Categorical single,FALSE,2,4
159,526,0,,,NA,NA,Categorical single,FALSE,2,6
160,527,0,,,NA,NA,Categorical single,FALSE,2,6
161,529,0,,,NA,NA,Categorical single,FALSE,2,6
162,531,0,,,NA,NA,Categorical single,FALSE,2,7
163,532,0,,,NA,NA,Categorical single,FALSE,2,6
164,533,0,,,NA,NA,Categorical single,FALSE,2,4
165,534,0,,,NA,NA,Categorical single,FALSE,2,6
166,535,0,,,NA,NA,Categorical single,FALSE,2,4
167,536,0,,,NA,NA,Categorical single,FALSE,2,4
168,537,0,,,NA,NA,Categorical single,FALSE,2,8
169,538,0,,,NA,NA,Categorical single,FALSE,2,7
170,548,0,,,NA,NA,Categorical single,FALSE,2,12
171,616,0,,,NA,NA,Categorical single,FALSE,2,12
172,620,0,,,NA,NA,Categorical single,FALSE,2,12
173,634,0,,,NA,NA,Categorical single,FALSE,2,3
174,682,0,,,NA,NA,Categorical single,FALSE,2,4
175,744,-1,,,NA,NA,Categorical multiple,FALSE,2,1025
176,777,0,,,NA,NA,Categorical single,FALSE,2,7
177,778,0,,,NA,NA,Categorical single,FALSE,2,5
178,782,0,,,NA,NA,Categorical single,FALSE,2,8
179,871,0,,,NA,NA,Categorical single,FALSE,2,8
180,913,0,,,NA,NA,Categorical single,FALSE,2,12
181,947,0,,,NA,NA,Categorical single,FALSE,2,2
182,950,0,,,NA,NA,Categorical single,FALSE,2,6
183,1001,0,,,NA,NA,Categorical single,TRUE,5,22
184,1002,0,,,NA,NA,Categorical single,FALSE,2,1
185,1007,0,,,NA,NA,Categorical single,FALSE,2,2
186,1010,0,,-17=100|-27=101,NA,NA,Categorical single,FALSE,2,18
187,1018,0,,,NA,NA,Categorical single,FALSE,2,5
188,1021,0,,,NA,NA,Categorical single,FALSE,2,3
189,1022,0,,,NA,NA,Categorical single,FALSE,2,4
190,1101,0,,,NA,NA,Categorical single,FALSE,2,1
191,1200,0,,,NA,NA,Categorical single,FALSE,2,23
192,1204,0,,,NA,NA,Categorical single,FALSE,2,16
193,1205,0,,,NA,NA,Categorical single,FALSE,2,2
194,1206,0,,,NA,NA,Categorical single,FALSE,2,2
195,1207,0,,,NA,NA,Categorical single,FALSE,2,1
196,1208,0,,,NA,NA,Categorical single,FALSE,2,1
197,1209,0,,,NA,NA,Categorical single,FALSE,2,1
198,1210,0,,,NA,NA,Categorical single,FALSE,2,1
199,1401,-1,,,NA,NA,Categorical multiple,FALSE,2,18
200,1405,-1,,,NA,NA,Categorical multiple,FALSE,2,4
201,1406,-1,,,NA,NA,Categorical multiple,FALSE,2,3
202,1407,-1,,,NA,NA,Categorical multiple,FALSE,2,9
203,1414,-1,,,NA,NA,Categorical multiple,FALSE,2,5
204,1415,-1,,,NA,NA,Categorical multiple,FALSE,2,3
205,1422,-1,,,NA,NA,Categorical multiple,FALSE,2,7
206,1423,-1,,,NA,NA,Categorical multiple,FALSE,2,6
207,1506,0,,,NA,NA,Categorical single,FALSE,2,3
208,1529,0,,,NA,NA,Categorical single,FALSE,2,5
209,1543,0,,,NA,NA,Categorical single,FALSE,2,3
210,1862,0,,,NA,NA,Categorical single,FALSE,2,6
211,1965,0,,,0,31,Categorical single,FALSE,2,5216
212,1970,0,,,NA,NA,Categorical multiple,FALSE,2,6
220,2171,0,,NA=0|20=1|21=1|30=1|31=1|40=1|41=1|50=1|51=1,NA,NA,Categorical single,FALSE,2,8
221,2226,0,,,NA,NA,Categorical single,FALSE,2,3
222,2730,0,,,NA,NA,Categorical single,FALSE,2,4
223,4917,0,,,NA,NA,Categorical single,FALSE,2,5
224,5001,0,,,NA,NA,Categorical single,FALSE,2,5
225,5002,0,,,NA,NA,Categorical single,FALSE,2,5
226,5003,0,,,NA,NA,Categorical single,FALSE,2,5
227,5004,0,,,NA,NA,Categorical single,FALSE,2,5
228,5005,0,,,NA,NA,Categorical single,FALSE,2,5
229,5006,0,,,NA,NA,Categorical single,FALSE,2,5
230,5007,0,,,NA,NA,Categorical single,FALSE,2,5
231,5008,0,,,NA,NA,Categorical single,FALSE,2,5
232,5009,0,,,NA,NA,Categorical single,FALSE,2,5
